"country","name_en","name_translated","name_dbpedia","population","Sudan_regions"
"Sudan","Al ‘Abbāsiyya","آل عبسيا","","89333.859375","South Kordofan"
"Sudan","قرية الرشايده الحفاير","قrieة الرفاق الله","","86728.1894531","Kassala"
"Sudan","Wad Rawah","واد رواه","","86511.555542","Aj Jazirah"
"Sudan","Al Kamilin","كاميلين","","85653.1755371","Aj Jazirah"
"Sudan","Tulus","تولوس","","82648.6574707","South Darfur"
"Sudan","Rufaah","روفا","","81939.888916","Aj Jazirah"
"Sudan","Adiela","أديلا","","81219.6523438","East Darfur"
"Sudan","أش شلال","أشلل","","78403.3525391","Blue Nile"
"Sudan","Dongola","دونجولا","دنقلا","75258.7491455","Northern"
"Sudan","Sawakin","Sawakin","","72517.0959473","Red Sea"
"Sudan","Zalingei","Zalingei","زالنجي","71381.776123","Central Darfur"
"Sudan","Station 10","محطة 10","","71337.270752","River Nile"
"Sudan","Jidad","جيدات","","63207.859375","South Darfur"
"Sudan","El Suki","سوكي","","63089.7280273","Sennar"
"Sudan","Wad el Haddad","واد الحداد","","62485.6699219","Sennar"
"Sudan","El Hawata","هاواتا","","61953.3682861","Gedaref"
"Sudan","Qurayshah","قريشه","","60981.1452637","Gedaref"
"Sudan","Al Uk","المملكة المتحدة","","60344.9506836","Aj Jazirah"
"Sudan","Murnei","مورني","","58702.9428711","West Darfur"
"Sudan","Al Lagowa","لاغوا","","58700.8256836","West Kordofan"
"Sudan","Aboud","أبود","عابود","56866.5991211","Aj Jazirah"
"Sudan","Sawdiri","sawdiri","","55514.9472656","North Kordofan"
"Sudan","Babanusah","بابانوسا","","54182.7165527","West Kordofan"
"Sudan","Alshukaba Alwihda","alshukaba alwihda","","54080.0039062","Aj Jazirah"
"Sudan","Umm Badr","أم بدر","أم بادر (مدينة)","51398.7636719","North Kordofan"
