date	city	tweet_id	raw_tweet	language	processed_tweets	Man_anger	Man_fear	Man_sadness	Man_disgust	Man_joy	Man_anger-disgust	GloVe_anger	GloVe_fear	GloVe_sadness	GloVe_disgust	GloVe_joy	GloVe_anger-disgust
2023-06-16	أكون	tag:search.twitter.com,2005:1669496447169961989	RT @2i9li: أكون ثرثار معكyou are special for me	und	rt 2i9li أكون ثرثار معكyou are special for me							0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669496350294065152	ما سكت الا وانا ادري من أكونو صمتي لحاله رماحه صايبهخاطري مرتاح من كثر الظنونو ما يهب من الرياح يلاعبه	ar	ما سكت الا وانا ادري من أكونو صمتي لحاله رماحه صايبهخاطري مرتاح من كثر الظنونو ما يهب من الرياح يلاعبه							0	0	0	0	0	1
2023-06-16	أكون	tag:search.twitter.com,2005:1669497422341447680	أحلامي غريبة لدرجة إني أكون تحت تأثيرها طوال اليوم	ar	أحلامي غريبة لدرجة إني أكون تحت تأثيرها طوال اليوم	1	0	0	0	0	1	0	0	1	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669498361043468288	- أحاول أن أكون لطيفًا مع الجميع إلى درجة تتمزق فيها روحي 🖤.- I try to be nice to everyone to the point where my soul is torn apart 🖤.	und	أحاول أن أكون لطيف ا مع الجميع إلى درجة تتمزق فيها روحي i try to be nice to everyone to the point where my soul is torn apart							0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669499352547557380	RT @nh1417_: أكون #دائـماً حيثُ تكون الرقـه .#صبآحات https://t.co/Nslcdc9RGd	ar	rt nh1417_ أكون دائـما حيث تكون الرقـه صبآحات t co nslcdc9rgd	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669499727526739968	@aame461 تعال علا الخاص نتفق ب أكون كريم بشكل كبير إذا طلعتم جادين https://t.co/pW2dU31dnP	ar	aame461 تعال علا الخاص نتفق ب أكون كريم بشكل كبير إذا طلعتم جادين t co pw2du31dnp	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669500265253289984	إذا سبني نذل تزايدت رفعةوما العيب إلا أن أكون مساببهولو لم تكن نفسي علّي عزيزةًلمكنتها من كل نذلٍ تحاربهولو أنن… https://t.co/14z95Jsble	ar	إذا سبني نذل تزايدت رفعةوما العيب إلا أن أكون مساببهولو لم تكن نفسي عل ي عزيزة لمكنتها من كل نذل تحاربهولو أنن t co 14z95jsble	0	0	0	1	0	1	0	0	1	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669500653218205697	כסמוגמיהربما لا أكون ساعة حتى أرسل لك الرسائل 24 ساعة يومياًلكن قلبي سيكون مثل الساعة لن يتوقف حبه واهتمامه بإنسان مميز مثلك😖	ar	כסמוגמיהربما لا أكون ساعة حتى أرسل لك الرسائل 24 ساعة يوميا لكن قلبي سيكون مثل الساعة لن يتوقف حبه واهتمامه بإنسان مميز مثلك	0	0	1	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669501635108716544	RT @HawraAlghasrah: أمسية مجانية جديدة بعنوان:{ كيف أكون بأنوثتي في علاقتي مع الرجل }💖بها أسرار بسيطة تساعدك على الإتصال مجددًا بأنوثتك…	ar	rt hawraalghasrah أمسية مجانية جديدة بعنوان كيف أكون بأنوثتي في علاقتي مع الرجل بها أسرار بسيطة تساعدك على الإتصال مجدد ا بأنوثتك	0	0	0	0	1	0	0	0	0	0	1	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669502468068110337	أنا والله ما أستحق إني أكون تحت كل هذا الضغط، أستاهل أنباس وأتدلّل بس يلا معلِش	ar	أنا والله ما أستحق إني أكون تحت كل هذا الضغط أستاهل أنباس وأتدل ل بس يلا معل ش	0	0	1	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669502374136741893	RT @LearnEnglish224: النفي مع beانا لا أكون – I'm not – آم نُتانت لا تكون– you aren't – يو آر نُتهو لا يكون – he isn't –هي إز نُتهي لا…	ar	rt learnenglish224 النفي مع beانا لا أكون i m not آم ن تانت لا تكون you aren t يو آر ن تهو لا يكون he isn t هي إز ن تهي لا	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669502790211715079	RT @b3_3f: إنني بخير رُغم ماحدث وما سيحدث ، أنا الذي أعرفُ جيداً كيف أقِف مرةً أُخرى دون مُساعدة من أي يد ، أنا الذي اعتدتُ أن أكون وحيداً…	ar	rt b3_3f إنني بخير ر غم ماحدث وما سيحدث أنا الذي أعرف جيدا كيف أق ف مرة أ خرى دون م ساعدة من أي يد أنا الذي اعتدت أن أكون وحيدا	0	0	0	0	1	0	0	0	1	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669503088011427840	توكسيك مع الشخص الوحيد اللي مينفعش أكون توكسيك معاه	ar	توكسيك مع الشخص الوحيد اللي مينفعش أكون توكسيك معاه	0	0	0	1	0	1	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669503426055618561	أكون ثرثار معكyou are special for me	und	أكون ثرثار معكyou are special for me							0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669503867745185793	"لطالما أحببت أن أكون خفيفًا، وأن ما أسعى إليه يسعى إليّ بحب.. برغبةٍ منه"	ar	لطالما أحببت أن أكون خفيف ا وأن ما أسعى إليه يسعى إلي بحب برغبة منه	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669504516150947840	أكون ثرثار معكyou are special for me	und	أكون ثرثار معكyou are special for me							0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669507456366530561	RT @abm7sn: "أخشى أن أبيت في قبري و أكون نسياً منسياً، اللهُمّ سخر لي من لا ينسى أسمي عند وفاتي". 🤍	ar	rt abm7sn أخشى أن أبيت في قبري و أكون نسيا منسيا الله م سخر لي من لا ينسى أسمي عند وفاتي	0	1	0	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669509360186163203	حينما أكون مستغرقة بأمرٍ ماإنني لا أنكف عن التفكير بِكولو لبرهة من الزمانأنكَ في ذاكرتيفي روحيفي قلبيوجسديوع… https://t.co/KmXuhHMjdx	ar	حينما أكون مستغرقة بأمر ماإنني لا أنكف عن التفكير ب كولو لبرهة من الزمانأنك في ذاكرتيفي روحيفي قلبيوجسديوع t co kmxuhhmjdx	0	0	1	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669510757711486976	RT @tawkedat7: أنوي أن أكون أداة للبهجة والفرح والسعادة في كل مكان 💚	ar	rt tawkedat7 أنوي أن أكون أداة للبهجة والفرح والسعادة في كل مكان	0	0	0	0	1	0	0	0	0	0	1	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669511936290045953	علِّمني ألاّ أكون مثلهم ياربعلِّمني ألا أجرح ولا أخذل ولا أُفلت يد من أمسك بيّ في منتصف الطريق وأمضي	ar	عل مني ألا أكون مثلهم ياربعل مني ألا أجرح ولا أخذل ولا أ فلت يد من أمسك بي في منتصف الطريق وأمضي	0	0	1	0	0	0	0	0	1	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669513245353291778	أتمنى أن أكون كل شيء تحبه.xks	ar	أتمنى أن أكون كل شيء تحبه xks	0	0	0	0	1	0	0	0	0	0	1	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669513271769014272	أريد أن أكون شيئًا جميلاً في حياتك، يرسم على شفتيك الابتسامة كلما خطرت على بالك.LmW	ar	أريد أن أكون شيئ ا جميلا في حياتك يرسم على شفتيك الابتسامة كلما خطرت على بالك lmw	0	0	0	0	1	0	0	0	0	0	1	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669513352287072257	أتمنى أن أكون كل شيء تحبه.4Su	ar	أتمنى أن أكون كل شيء تحبه 4su	0	0	0	0	1	0	0	0	0	0	1	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669513272611971074	استطعت أن أكون معك على طبيعتي دون أي تصنع أو أي مجاملة، فأنت تحبني كما أنا، وأنا أهواك كما أنت.3oR	ar	استطعت أن أكون معك على طبيعتي دون أي تصنع أو أي مجاملة فأنت تحبني كما أنا وأنا أهواك كما أنت 3or	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669513455471034368	استطعت أن أكون معك على طبيعتي دون أي تصنع أو أي مجاملة، فأنت تحبني كما أنا، وأنا أهواك كما أنت.jV5	ar	استطعت أن أكون معك على طبيعتي دون أي تصنع أو أي مجاملة فأنت تحبني كما أنا وأنا أهواك كما أنت jv5	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669513429470543875	استطعت أن أكون معك على طبيعتي دون أي تصنع أو أي مجاملة، فأنت تحبني كما أنا، وأنا أهواك كما أنت.tlb	ar	استطعت أن أكون معك على طبيعتي دون أي تصنع أو أي مجاملة فأنت تحبني كما أنا وأنا أهواك كما أنت tlb	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669513689110573056	RT @FawazBaqer: "إياك أن تسامح شخصًا جعلك تسأل نفسك يومًا هل أنا بهذا السوء؟ أو أنني غير كافي لأن أكون شخصًا مميزًا لك! إياك أن تسامح شخصًا…	ar	rt fawazbaqer إياك أن تسامح شخص ا جعلك تسأل نفسك يوم ا هل أنا بهذا السوء أو أنني غير كافي لأن أكون شخص ا مميز ا لك إياك أن تسامح شخص ا	0	0	1	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669514826182172672	اليوم اخترت أن أكون أفضل نسخة مني ♥️	ar	اليوم اخترت أن أكون أفضل نسخة مني	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669517041613545472	RT @abm7sn: "أخشى أن أبيت في قبري و أكون نسياً منسياً، اللهُمّ سخر لي من لا ينسى أسمي عند وفاتي". 🤍	ar	rt abm7sn أخشى أن أبيت في قبري و أكون نسيا منسيا الله م سخر لي من لا ينسى أسمي عند وفاتي	0	1	0	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669518121655316480	RT @2i9li: أكون ثرثار معكyou are special for me	und	rt 2i9li أكون ثرثار معكyou are special for me							0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669518585956278272	RT @nasr17010982: #لحظات_سيئةالسمعة#افتارأنا من الأشخاص الذين يحبون العزلة ويقدرونها. أحب أن أكون وحدي. أو بالأحرى ، ليس من الصعب علي أن…	ar	rt nasr17010982 لحظات_سيئةالسمعة افتارأنا من الأشخاص الذين يحبون العزلة ويقدرونها أحب أن أكون وحدي أو بالأحرى ليس من الصعب علي أن	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669520228429053952	"واسألك يالله أن أكون قويًا وأنا بمُفردي"	ar	واسألك يالله أن أكون قوي ا وأنا بم فردي	0	0	1	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669520606335729664	RT @He6ii: دايم أخاف أني أجرح احد بدون قصد أخاف ينام شخص وفي خاطره مثقال ذره علي أخاف أن يشكيني عبد لربه في قيام الليل أخاف أني أكون سبب في…	ar	rt he6ii دايم أخاف أني أجرح احد بدون قصد أخاف ينام شخص وفي خاطره مثقال ذره علي أخاف أن يشكيني عبد لربه في قيام الليل أخاف أني أكون سبب في	0	1	0	0	0	0	0	1	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669520602997092352	أحببتُك بقلبي قبل عيناي و وجدتُ بك كل الأشياء التي تدعوني أن أكون بخير،لم يتمكن أي أحد في الوصول إلى داخلي مثلما فعلت انت.	ar	أحببت ك بقلبي قبل عيناي و وجدت بك كل الأشياء التي تدعوني أن أكون بخير لم يتمكن أي أحد في الوصول إلى داخلي مثلما فعلت انت	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669522436746797056	RT @2i9li: أكون ثرثار معكyou are special for me	und	rt 2i9li أكون ثرثار معكyou are special for me							0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669523026453356545	RT @abm7sn: "أخشى أن أبيت في قبري و أكون نسياً منسياً، اللهُمّ سخر لي من لا ينسى أسمي عند وفاتي". 🤍	ar	rt abm7sn أخشى أن أبيت في قبري و أكون نسيا منسيا الله م سخر لي من لا ينسى أسمي عند وفاتي	0	0	1	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669524197096189952	قد سمعتوا يوم عن " جاوّر من تحب لترضى عن أرضك " كيف أقدر أكون ولو سابع جارٍ لك ؟♥️	ar	قد سمعتوا يوم عن جاو ر من تحب لترضى عن أرضك كيف أقدر أكون ولو سابع جار لك	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669525824490426368	RT @abm7sn: "أخشى أن أبيت في قبري و أكون نسياً منسياً، اللهُمّ سخر لي من لا ينسى أسمي عند وفاتي". 🤍	ar	rt abm7sn أخشى أن أبيت في قبري و أكون نسيا منسيا الله م سخر لي من لا ينسى أسمي عند وفاتي	0	0	1	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669527662426030084	انني أحبك حتى في منعطفات الحياة الخطره والسيئه، حتى مع رغبتي في ان أكون وحيدًا .. حتى رغم برودي المفاجئ نحو كل شي و… https://t.co/1iJq7Ojvpo	ar	انني أحبك حتى في منعطفات الحياة الخطره والسيئه حتى مع رغبتي في ان أكون وحيد ا حتى رغم برودي المفاجئ نحو كل شي و t co 1ijq7ojvpo	0	0	1	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669527547070099456	RT @el2bnoudy: باعرف أكونأي شيء تحتاجوه ...حُضنوِدنضٙهرصاحب، بيغلطبس مش بيخون👌- الراوي	ar	rt el2bnoudy باعرف أكونأي شيء تحتاجوه ح ضنو دنض هرصاحب بيغلطبس مش بيخون الراوي	0	0	0	0	1	0	1	0	0	0	0	1
2023-06-16	أكون	tag:search.twitter.com,2005:1669528796137914368	لستُ نِعم العَبد، لكني أرجُو أن أكون أوابٌ اللهم اصلحني.	ar	لست ن عم الع بد لكني أرج و أن أكون أواب اللهم اصلحني	0	0	0	0	1	0	0	0	1	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669530124478304256	"وأعرف أنني رغم كل بأسٍ سأصون ميلي لليسر، وقابليّتي للمحبة، ورغبتي بأن أكون أفضل. لا أقف عند الأذى ، وأختار موضعًا… https://t.co/ZVjyQJqvis	ar	وأعرف أنني رغم كل بأس سأصون ميلي لليسر وقابلي تي للمحبة ورغبتي بأن أكون أفضل لا أقف عند الأذى وأختار موضع ا t co zvjyqjqvis	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669531659195109376	من الأهداف اللي تحفزني إني أكون فاحشة الثراء بقدر أغير كل شهر غرفتي	ar	من الأهداف اللي تحفزني إني أكون فاحشة الثراء بقدر أغير كل شهر غرفتي	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669532388982923264	RT @rouza74: أنا لازم أكون علاقة جادة مع الخيل بعد الامتحانات مش معقول أبقى بحبه الحب دا كله وبخاف منهم! حبيتين شجاعة ونوطد العلاقات بإذن ا…	ar	rt rouza74 أنا لازم أكون علاقة جادة مع الخيل بعد الامتحانات مش معقول أبقى بحبه الحب دا كله وبخاف منهم حبيتين شجاعة ونوطد العلاقات بإذن ا	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669533743327977480	واسألك يالله أن أكون قويًا وأنا بمُفردي	ar	واسألك يالله أن أكون قوي ا وأنا بم فردي	0	0	1	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669535105235156994	RT @abm7sn: "أخشى أن أبيت في قبري و أكون نسياً منسياً، اللهُمّ سخر لي من لا ينسى أسمي عند وفاتي". 🤍	ar	rt abm7sn أخشى أن أبيت في قبري و أكون نسيا منسيا الله م سخر لي من لا ينسى أسمي عند وفاتي	0	1	0	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669536573648510977	RT @muneeralqrni: تشرفت بأن أكون ضيفا في( بودكاست نقوش )وبصحبة فريق العمل حلّقنا في فضاء الانضباط وصناعة الأثر سأختار لكم جملة من المقا…	ar	rt muneeralqrni تشرفت بأن أكون ضيفا في بودكاست نقوش وبصحبة فريق العمل حل قنا في فضاء الانضباط وصناعة الأثر سأختار لكم جملة من المقا	0	0	0	0	1	0	0	0	0	0	1	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669538727419322368	RT @abm7sn: "أخشى أن أبيت في قبري و أكون نسياً منسياً، اللهُمّ سخر لي من لا ينسى أسمي عند وفاتي". 🤍	ar	rt abm7sn أخشى أن أبيت في قبري و أكون نسيا منسيا الله م سخر لي من لا ينسى أسمي عند وفاتي	0	1	0	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669540992364564480	لطالما أحببت أن أكون خفيفًا، وأن ما أسعى إليه يسعى إليّ بحب.. برغبةٍ منه"	ar	لطالما أحببت أن أكون خفيف ا وأن ما أسعى إليه يسعى إلي بحب برغبة منه	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669542768656433152	RT @M0HAMED_KHALED7: #محاسبة_أبانوب_عماد #إلا_رسول_الله #وزارةالعدل قال رسول الله صلى الله عليه و سلم :( لن يؤمن أحدكم حتى أكون أحب إلي…	ar	rt m0hamed_khaled7 محاسبة_أبانوب_عماد إلا_رسول_الله وزارةالعدل قال رسول الله صلى الله عليه و سلم لن يؤمن أحدكم حتى أكون أحب إلي	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669545711371681793	أن أكون مباركة راضيه وسعيده ومُزهرة اينما كنت🤍	ar	أن أكون مباركة راضيه وسعيده وم زهرة اينما كنت	0	0	0	0	1	0	0	0	0	0	1	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669548082839650307	RT @wejdan_f12: "و لكنني أحبكحتى عندما أكون يائسًاو مُتعَبًاأحبك .. لأن تلك النُّدوبتتلاشى بجانبك."❤	ar	rt wejdan_f12 و لكنني أحبكحتى عندما أكون يائس او م تع ب اأحبك لأن تلك الن دوبتتلاشى بجانبك	0	0	0	0	1	0	1	0	0	0	0	1
2023-06-16	أكون	tag:search.twitter.com,2005:1669548227085860867	ابغى أكون آخر حبيبه بحياتك 🤍!.	ar	ابغى أكون آخر حبيبه بحياتك	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669548537044934657	RT @fareeeeid: كان لي الشرف أن أكون ضمن هذه الأصوات الشجاعة وسط بغداد ...#شكرا_للمهندس_المؤسس#مشكور_حجي_قاسم https://t.co/gUvG216idf	ar	rt fareeeeid كان لي الشرف أن أكون ضمن هذه الأصوات الشجاعة وسط بغداد شكرا_للمهندس_المؤسس مشكور_حجي_قاسم t co guvg216idf	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669550839730520065	RT @abm7sn: "أخشى أن أبيت في قبري و أكون نسياً منسياً، اللهُمّ سخر لي من لا ينسى أسمي عند وفاتي". 🤍	ar	rt abm7sn أخشى أن أبيت في قبري و أكون نسيا منسيا الله م سخر لي من لا ينسى أسمي عند وفاتي	0	1	0	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669552065327054848	RT @lAAhdmitafndy34: 🌸םבםב رسول ٱɑɺɺ ﷺ✍🏻قال رسول الله ﷺ لا يُؤمن أحدكم حتى أكون أحب إليه من ولده ووالده والناس أجمعين( إِنَّ اللَّهَ وَ…	ar	rt laahdmitafndy34 םבםב رسول ٱɑɺɺ ﷺ قال رسول الله ﷺ لا ي ؤمن أحدكم حتى أكون أحب إليه من ولده ووالده والناس أجمعين إ ن الل ه و	0	0	0	0	1	0	0	0	0	0	1	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669552327856979969	لو تملك شخص تحت مسمى  عاذرني قبل عذري وقابلني مثل ما أكون  اخسر العالم ولا تخسره  ..	ar	لو تملك شخص تحت مسمى عاذرني قبل عذري وقابلني مثل ما أكون اخسر العالم ولا تخسره	0	0	0	0	1	0	0	0	1	0	0	1
2023-06-16	أكون	tag:search.twitter.com,2005:1669553647825440770	من أسباب زوال النعمة مظاهرة المجرمين، نصرهم وتأييدهم، فهذا موسى عليه السلام (رب بما أنعمت علي فلن أكون ظهيرا للمجرم… https://t.co/pnZt2ZlnRP	ar	من أسباب زوال النعمة مظاهرة المجرمين نصرهم وتأييدهم فهذا موسى عليه السلام رب بما أنعمت علي فلن أكون ظهيرا للمجرم t co pnzt2zlnrp	0	0	0	1	0	1	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669554375943921665	RT @IBra_AlNajjer: قد  لا  أكون  رفيق  موعدگ  الأول،  او قبلتگ  ﺂلأوﻟى ، أو حبگ  الأول ، وﻟڪﻧي أريد أن أكون الأﺧﯾر  🤚 https://t.co/XM7A…	ar	rt ibra_alnajjer قد لا أكون رفيق موعدگ الأول او قبلتگ ﺂلأوﻟى أو حبگ الأول وﻟڪﻧي أريد أن أكون الأﺧﯾر t co xm7a	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669555410255192064	قال رسول الله ﷺ(فوالذي نفسي بيده لا يؤمن أحدكم حتى أكون أحب إليه من والده وولده) صحيح البخاري	ar	قال رسول الله ﷺ فوالذي نفسي بيده لا يؤمن أحدكم حتى أكون أحب إليه من والده وولده صحيح البخاري	0	0	0	0	1	0	0	0	0	0	1	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669558692302270464	لي الشرف أن أكون ذا صوت في نادي الاتحاد بأن أكون عضو جمعية عمومية .. الرقم في التسلسل (182) https://t.co/XTAcZEuyfd	ar	لي الشرف أن أكون ذا صوت في نادي الاتحاد بأن أكون عضو جمعية عمومية الرقم في التسلسل 182 t co xtaczeuyfd	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669558793800171527	RT @Alreemalketbi7: ي أكون أول اولوياتك ولا بلاها . .	ar	rt alreemalketbi7 ي أكون أول اولوياتك ولا بلاها	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669559675048677378	RT @Nourawad0: انا انسان مع نفسي قبل لا أكون معك انسانولي مبدأ ولي نظره وتحكمني قناعاتياحب الصدق واعمل به كسبت او كنت انا الخسرانولو صد…	ar	rt nourawad0 انا انسان مع نفسي قبل لا أكون معك انسانولي مبدأ ولي نظره وتحكمني قناعاتياحب الصدق واعمل به كسبت او كنت انا الخسرانولو صد	0	0	0	0	1	0	0	0	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669561564976803842	أن أكون مباركة راضيه وسعيده ومُزهرة اينما كنت🤍	ar	أن أكون مباركة راضيه وسعيده وم زهرة اينما كنت	0	0	0	0	1	0	0	0	0	0	1	0
