,country,name_en,name_translated,name_dbpedia,population
313,Sudan,قرية الرشايده الحفاير,قrieة الرفاق الله,,86728.18945
314,Sudan,Wad Rawah,واد رواه,,86511.55554
315,Sudan,Al Kamilin,كاميلين,,85653.17554
316,Sudan,Tulus,تولوس,,82648.65747
317,Sudan,Rufaah,روفا,,81939.88892
318,Sudan,Adiela,أديلا,,81219.65234
319,Sudan,أش شلال,أشلل,,78403.35254
320,Sudan,Dongola,دونجولا,دنقلا,75258.74915
321,Sudan,Sawakin,Sawakin,,72517.09595
322,Sudan,Zalingei,Zalingei,زالنجي,71381.77612
323,Sudan,Station 10,محطة 10,,71337.27075
324,Sudan,Jidad,جيدات,,63207.85938
325,Sudan,El Suki,سوكي,,63089.72803
326,Sudan,Wad el Haddad,واد الحداد,,62485.66992
327,Sudan,El Hawata,هاواتا,,61953.36829
328,Sudan,Qurayshah,قريشه,,60981.14526
329,Sudan,Al Uk,المملكة المتحدة,,60344.95068
330,Sudan,Murnei,مورني,,58702.94287
331,Sudan,Al Lagowa,لاغوا,,58700.82568
332,Sudan,Aboud,أبود,عابود,56866.59912
333,Sudan,Sawdiri,sawdiri,,55514.94727
334,Sudan,Babanusah,بابانوسا,,54182.71655
335,Sudan,Alshukaba Alwihda,alshukaba alwihda,,54080.00391
336,Sudan,Umm Badr,أم بدر,أم بادر (مدينة),51398.76367
