id	event	tweet	offensive	emotion
3VP28W7DUNQAK45HNW4EF7CUJ5DZFC	LaLiga	Я не відчуваю радості від перемоги в #ЛаЛіга, і не думаю, що буду відчувати це, якщо ми не виграємо Лігу чемпіонів. https://t.co/0jlIBljGAT	NO	sadness
3LEG2HW4UFTKET25YPV0SW2NYWCF2I	ChampionsLeague	Гризу нігті, спостерігаючи, як захист Барселони грає повітряні передачі у власному штрафному майданчику. Кожне дотик викликає зростання тривоги. #Барселона_Ліверпуль #ЛігаЧемпіонів	NO	fear
3E24UO25QZW227YZKUQT53SD627O6W	LaLiga	Місто Барселона зараз розігрівається. Вау! #ЛаЛіга #ФКБарселона #Чемпіони	NO	joy
3R5LWXWHR0ERT91XXYMB07WVCKEXGB	GameOfThrones	Доведеться триматися ще однієї банки, щоб заспокоїтися після цього! #Гра_Престолів	NO	surprise
37VUR2VJ6AV6MW0ZOJ5LF77F9D8C1P	GameOfThrones	Я можу з'явитися, я побачив це без спойлерів! #Гра_Престолів	NO	joy
3XDSWAMB22YU30KG9YV0G8FNHP0CQK	GameOfThrones	Та епізод Гри Престолів не був таким чудовим, як всі тут говорять. Погане освітлення протягом усього епізоду робить незрозумілим, хто живий, а хто ні. Якби не останні 10 хвилин, епізод був був не дуже хорошим, якщо говорити чесно... #ГраДжонів	NO	anger
33NKDW9FFXOECXLSVCQSAGBGESLXC0	GretaThunberg	🔴 Британські парламентарії єдноголосно проголосували за оголошення надзвичайного стану щодо навколишнього середовища та клімату 😁 Молодці #ВимиранняРуху #ШкільнаСтрайкаПроКлімат #ГретаТунберг #ДжереміКорбін та #КаролінЛукас #ОдинСвіт 💚🌍 https://t.co/e6w9DAmW8A	NO	joy
302U8RURJZ75ZCDOKNYO2687XLRNV5	ChampionsLeague	Це не божевільно, це коментар людини, яка вірить у свій клуб. Я також думаю, що ми пройдемо, мене вразила гра Аяксу, але з Соном і повністю готовим Сіссоко ми зможемо це зробити! 👍🏼 #COYS #Вірити #ЛігаЧемпіонів	NO	joy
3VQTAXTYN3R3LOZRC7JAFP6U2P1UBV	Venezuela	"Перша причина володіти AR-15 (або будь-якою іншою зброєю)... ""Добре організована Міліція, будучи необхідною для безпеки вільної Держави, право людей на збереження та носіння зброї не повинно порушуватись."" 🇺🇸 #Венесуела https://t.co/69ZbU7UtYM"	NO	fear
3OQQD2WO8ICT920E3XFQE3K7K25I3O	GretaThunberg	Цей проклятий глобальне потепління знову підбирається.... #ГретаТунберг https://t.co/IuR5OpZ9r7	NO	anger
32ZCLEW0BZQWB2P7JDXX37282DLPJI	GretaThunberg	👧 Хто така #ГретаТунберг? Одна з 100 найвпливовіших осіб у світі? Дівчинка, яку Папа закликав "продовжувати робити те, що вона робить"? Номінантка на Нобелівську премію миру? Нова Че Гевара? 🛑 Або просто дитина, яка страждає через вплив ЗМІ? https://t.co/oFOwxuE7Lq USER USER_Replica	NO	disgust
3MWOYZD5WVUA9S4RJBCA7EEZ1SWON6	LaLiga	USER стають чемпіонами знову. Що мені подобається у цьому сезоні, так це те, що іноді чемпіонати виграються завдяки гриті, а не тільки майстерності. Ми показали грить. Вже 8 разів за останні 11 сезонів. #Чемпіони #Ла Ліга	NO	joy
3QX22DUVOONZHUSO8MJOPRJ7SVEVMA	NotreDame	Не можу повірити, що сталося з кафедральним собором Парижа. Це така трагедія!! Мені так жаль всіх, хто втратив таку символічну пам'ятку. #Пожежаукафедральномусоборі	NO	sadness
3SSN80MU8CUWVVXGNP7QYZOOJ1TKXZ	WorldBookDay	Боротьба реальна, люди... З Найщасливішим #ВсесвітовимДнемКниг для всіх бібліофілів..! Насолоджуйтесь читанням..! 😋 https://t.co/gXvOshCAXC	NO	joy
32K26U12DNUWD0MBVTKL61WDJHNDVB	Venezuela	USER Так, народ #Венесуели відкидає призначеного #Гуайдо #РукиПодаліВідВенесуели https://t.co/47ZlHbjmSA	NO	disgust
