STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,# IDP INDIVIDUALS,# IDP HOUSEHOLDS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
Khartoum,SD01,Jebel Awlia,SD01001,300,60,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,240,48,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,325,65,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,550,110,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,575,115,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,560,112,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,400,80,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,225,45,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,200,40,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,350,70,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Bahri,SD01003,140,28,Khartoum,SD01,Jabal Alwlia,SD01001
Khartoum,SD01,Sharg An Neel,SD01004,60,12,Khartoum,SD01,Bahri,SD01003
Khartoum,SD01,Sharg An Neel,SD01004,35,7,Khartoum,SD01,Bahri,SD01003
Khartoum,SD01,Sharg An Neel,SD01004,45,9,Khartoum,SD01,Bahari,SD01003
Khartoum,SD01,Sharg An Neel,SD01004,125,25,Khartoum,SD01,Bahari,SD01003
Khartoum,SD01,Sharg An Neel,SD01004,40,8,Khartoum,SD01,Bahari,SD01003
Khartoum,SD01,Sharg An Neel,SD01004,115,23,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Sharg An Neel,SD01004,250,50,Khartoum,SD01,Sharg Alneel,SD01004
Khartoum,SD01,Khartoum,SD01007,285,57,Khartoum,SD01,Jabal Alwlia,SD01001
Khartoum,SD01,Khartoum,SD01007,440,88,Khartoum,SD01,Jabal Alwlia,SD01001
Khartoum,SD01,Um Durman,SD01006,500,100,Khartoum,SD01,Jabal Alwlia,SD01001
Khartoum,SD01,Um Durman,SD01006,200,40,Khartoum,SD01,Jabal Alwlia,SD01001
Khartoum,SD01,Um Durman,SD01006,150,30,Khartoum,SD01,Jabal Alwlia,SD01001
Khartoum,SD01,Um Durman,SD01006,150,30,Khartoum,SD01,Jabal Alwlia,SD01001
Khartoum,SD01,Um Durman,SD01006,250,50,Khartoum,SD01,Jabal Alwlia,SD01001
Khartoum,SD01,Um Durman,SD01006,225,45,Khartoum,SD01,Jabal Alwlia,SD01001
Khartoum,SD01,Um Durman,SD01006,140,28,Khartoum,SD01,Jabal Alwlia,SD01001
Khartoum,SD01,Um Durman,SD01006,1000,200,Khartoum,SD01,Omdorman,SD01006
Khartoum,SD01,Um Durman,SD01006,1000,200,Khartoum,SD01,Omdorman,SD01006
Khartoum,SD01,Um Durman,SD01006,250,50,Khartoum,SD01,Omdorman,SD01006
Khartoum,SD01,Um Durman,SD01006,150,30,Khartoum,SD01,Omdorman,SD01006
Khartoum,SD01,Um Durman,SD01006,100,20,Khartoum,SD01,Omdorman,SD01006
Khartoum,SD01,Um Durman,SD01006,900,180,Khartoum,SD01,Omdorman,SD01006
Khartoum,SD01,Karrari,SD01005,100,20,Khartoum,SD01,Karrary,SD01005
Khartoum,SD01,Karrari,SD01005,150,30,Khartoum,SD01,Karrary,SD01005
Khartoum,SD01,Karrari,SD01005,125,25,Khartoum,SD01,Karrary,SD01005
Khartoum,SD01,Karrari,SD01005,150,30,Khartoum,SD01,Karrary,SD01005
Aj Jazirah,SD15,Medani Al Kubra,SD15030,535,107,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Medani Al Kubra,SD15030,1525,305,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Medani Al Kubra,SD15030,550,110,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,125,25,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,100,20,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,85,17,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,180,36,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,585,117,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,300,60,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,400,80,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,50,10,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Kamlin,SD15035,950,190,Aj Jazirah,SD15,AL kamleen,SD15035
Aj Jazirah,SD15,Al Hasahisa,SD15034,200,40,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Hasahisa,SD15034,200,40,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Hasahisa,SD15034,100,20,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Al Hasahisa,SD15034,25,5,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,200,40,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,50,10,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,50,10,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,50,10,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,100,20,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,25,5,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,25,5,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,25,5,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,50,10,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,100,20,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,110,22,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,85,17,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,350,70,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,140,28,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,70,14,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,25,5,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,190,38,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,115,23,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,95,19,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,235,47,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,215,43,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,175,35,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,135,27,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,60,12,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,60,12,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,70,14,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Aj Jazirah,SD15,Janub Al Jazirah,SD15031,80,16,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Northern,N/A,29200,5840,Khartoum,SD01,Khartoum,SD01007
Northern,SD17,Merwoe,SD17020,0,0,Northern,SD17,Merowe,SD17020
Northern,SD17,Merwoe,SD17020,0,0,Northern,SD17,Merowe,SD17020
Northern,SD17,Merwoe,SD17020,0,0,Northern,SD17,Merowe,SD17020
Northern,SD17,Merwoe,SD17020,0,0,Northern,SD17,Merowe,SD17020
Northern,SD17,Merwoe,SD17020,0,0,Northern,SD17,Merowe,SD17020
Northern,SD17,Merwoe,SD17020,0,0,Northern,SD17,Merowe,SD17020
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Merwoe,SD17020,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Dongola,SD17017,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Al Burgaig,SD17016,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Al Burgaig,SD17016,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Ad Dabbah,SD17019,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Ad Dabbah,SD17019,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Ad Dabbah,SD17019,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Ad Dabbah,SD17019,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Ad Dabbah,SD17019,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Ad Dabbah,SD17019,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Ad Dabbah,SD17019,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Ad Dabbah,SD17019,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Ad Dabbah,SD17019,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Ad Dabbah,SD17019,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Al Golid,SD17018,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Al Golid,SD17018,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Al Golid,SD17018,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Al Golid,SD17018,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Al Golid,SD17018,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Al Golid,SD17018,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Delgo,SD17015,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
Northern,SD17,Halfa,SD17014,0,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,280,56,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,60,12,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,15,3,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,60,12,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,50,10,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,50,10,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,110,22,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,10,2,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,40,8,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,105,21,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,55,11,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,40,8,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,245,49,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,45,9,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,15,3,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Atbara,SD16012,255,51,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Shendi,SD16010,110,22,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Shendi,SD16010,35,7,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Shendi,SD16010,10,2,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
River Nile,SD16,Shendi,SD16010,35,7,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,10,2,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,60,12,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,20,4,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,35,7,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,30,6,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
